Molecule Name,Molecule Concentration,HTS_0
M-000001,2.5,2.6074414253234863
M-000002,5.0,1.3768417835235596
M-000001,2.5,2.9530537128448486
M-000001,0.625,3.214251756668091
M-000001,5.0,2.832953929901123
M-000001,0.625,3.5907626152038574
M-000001,0.3125,4.037956237792969
M-000002,10.0,2.253221035003662
M-000001,1.25,3.1046738624572754
M-000002,20.0,2.146493673324585
M-000002,0.3125,1.8023810386657715
M-000001,5.0,3.238442659378052
M-000002,0.3125,1.0055148601531982
M-000002,10.0,2.057986497879028
M-000002,30.0,2.9882278442382812
M-000002,2.5,1.4653220176696777
M-000001,5.0,2.4899990558624268
M-000002,20.0,2.5684309005737305
M-000001,10.0,2.1027636528015137
M-000002,1.25,1.6506505012512198
M-000001,0.3125,2.828559875488281
M-000002,10.0,1.6878361701965332
M-000002,1.25,1.244114637374878
M-000002,0.3125,1.983820915222168
M-000001,0.3125,3.126851320266724
M-000002,2.5,1.6207268238067627
M-000002,5.0,2.188966751098633
M-000002,5.0,1.6402606964111328
M-000001,1.25,3.4032883644104004
M-000002,0.3125,1.7336678504943848
M-000002,30.0,2.487457513809204
M-000002,0.3125,0.9396517276763916
M-000001,1.25,3.027759075164795
M-000001,10.0,2.872602939605713
M-000002,2.5,1.9154658317565918
M-000002,0.625,2.1518523693084717
M-000002,0.3125,1.060748815536499
M-000002,0.625,1.194704294204712
M-000002,10.0,2.255568027496338
M-000002,0.625,1.7499191761016846
M-000001,0.3125,3.09810471534729
M-000002,0.625,1.8210289478302002
M-000001,1.25,3.800724744796753
M-000002,1.25,1.1373121738433838
M-000001,20.0,1.665340542793274
M-000001,0.625,2.9136829376220703
M-000001,1.25,2.8888134956359863
M-000002,2.5,1.4232885837554932
M-000002,30.0,2.5740418434143075
M-000002,1.25,1.741640567779541
M-000002,1.25,1.7061269283294682
M-000001,1.25,3.4210851192474365
M-000002,0.625,1.904242992401123
M-000002,1.25,1.5249793529510498
M-000002,10.0,2.0958402156829834
M-000001,0.3125,2.95858120918274
M-000002,20.0,2.2342779636383057
M-000002,2.5,2.0412611961364746
M-000002,5.0,1.1280040740966797
M-000002,10.0,2.0720858573913574
M-000001,10.0,2.08972692489624
M-000001,5.0,2.5828640460968018
M-000001,2.5,3.3406286239624023
M-000002,0.3125,1.6485841274261475
M-000002,2.5,1.6172254085540771
M-000001,0.625,2.560447454452514
M-000002,5.0,1.8217101097106938
M-000001,0.625,2.571312427520752
M-000001,30.0,1.5268570184707642
M-000002,10.0,1.8194165229797359
M-000002,5.0,1.5387914180755615
M-000002,1.25,1.9493510723114018
M-000002,0.3125,1.73368239402771
M-000002,2.5,1.324925422668457
M-000001,0.625,3.388172149658203
M-000002,1.25,1.686861515045166
M-000002,10.0,2.4527907371520996
M-000003,2.5,3.02673864364624
M-000003,0.3125,3.1033527851104736
M-000003,30.0,1.585892677307129
M-000003,30.0,1.7897162437438965
M-000003,5.0,2.821362018585205
M-000003,30.0,1.562386393547058
M-000003,2.5,2.3754806518554688
M-000003,0.3125,2.989393949508667
M-000003,30.0,1.9499913454055784
M-000003,30.0,1.210909366607666
M-000003,20.0,2.2082698345184326
M-000003,5.0,2.048613786697388
M-000003,1.25,2.6408164501190186
M-000003,10.0,1.8307709693908687
M-000003,20.0,1.71280038356781
M-000003,20.0,2.031151056289673
M-000003,10.0,1.869632244110108
M-000003,20.0,2.3904738426208496
M-000003,30.0,0.7836408019065857
M-000003,1.25,3.05024528503418
M-000003,1.25,2.884610176086426
M-000003,20.0,2.174126386642456
M-000003,30.0,1.945257544517517
M-000003,0.3125,3.126518726348877
M-000003,1.25,2.3401079177856445
M-000003,2.5,2.569244146347046
M-000003,20.0,2.1739325523376465
M-000003,20.0,1.626832365989685
M-000003,30.0,1.825368046760559
M-000003,1.25,3.3212363719940186
M-000003,30.0,2.1661767959594727
M-000003,30.0,2.0290095806121826
M-000003,2.5,2.08483362197876
M-000003,0.3125,2.43703293800354
M-000003,20.0,2.1546311378479004
M-000003,2.5,3.0206549167633057
M-000003,0.3125,3.162184476852417
M-000003,20.0,1.929579734802246
M-000003,30.0,2.0444960594177246
M-000003,20.0,1.7501988410949707
M-000003,30.0,1.195370078086853
M-000003,20.0,1.5186846256256104
M-000003,5.0,2.6183598041534424
M-000003,10.0,1.8130232095718384
M-000003,10.0,1.7410212755203247
M-000003,2.5,2.682811975479126
M-000003,30.0,2.094089984893799
M-000003,30.0,1.705260992050171
M-000003,5.0,2.275923013687134
